Season,Team,Voting,Player,Position
1989-90,1st,(V),Patrick Ewing ,C
1989-90,1st,(V),Charles Barkley ,F
1989-90,1st,(V),Karl Malone ,F
1989-90,1st,(V),Magic Johnson ,G
1989-90,1st,(V),Michael Jordan ,G
1989-90,2nd,(V),Hakeem Olajuwon ,C
1989-90,2nd,(V),Larry Bird ,F
1989-90,2nd,(V),Tom Chambers ,F
1989-90,2nd,(V),Kevin Johnson ,G
1989-90,2nd,(V),John Stockton ,G
1989-90,3rd,(V),David Robinson ,C
1989-90,3rd,(V),Chris Mullin ,F
1989-90,3rd,(V),James Worthy ,F
1989-90,3rd,(V),Clyde Drexler ,G
1989-90,3rd,(V),Joe Dumars ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1988-89,1st,(V),Hakeem Olajuwon ,C
1988-89,1st,(V),Charles Barkley ,F
1988-89,1st,(V),Karl Malone ,F
1988-89,1st,(V),Magic Johnson ,G
1988-89,1st,(V),Michael Jordan ,G
1988-89,2nd,(V),Patrick Ewing ,C
1988-89,2nd,(V),Tom Chambers ,F
1988-89,2nd,(V),Chris Mullin ,F
1988-89,2nd,(V),Kevin Johnson ,G
1988-89,2nd,(V),John Stockton ,G
1988-89,3rd,(V),Robert Parish ,C
1988-89,3rd,(V),Terry Cummings ,F
1988-89,3rd,(V),Dominique Wilkins ,F
1988-89,3rd,(V),Dale Ellis ,G
1988-89,3rd,(V),Mark Price ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1987-88,1st,(V),Hakeem Olajuwon ,C
1987-88,1st,(V),Charles Barkley ,F
1987-88,1st,(V),Larry Bird ,F
1987-88,1st,(V),Magic Johnson ,G
1987-88,1st,(V),Michael Jordan ,G
1987-88,2nd,(V),Patrick Ewing ,C
1987-88,2nd,(V),Karl Malone ,F
1987-88,2nd,(V),Dominique Wilkins ,F
1987-88,2nd,(V),Clyde Drexler ,G
1987-88,2nd,(V),John Stockton ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1986-87,1st,(V),Hakeem Olajuwon ,C
1986-87,1st,(V),Larry Bird ,F
1986-87,1st,(V),Kevin McHale ,F
1986-87,1st,(V),Magic Johnson ,G
1986-87,1st,(V),Michael Jordan ,G
1986-87,2nd,(V),Moses Malone ,C
1986-87,2nd,(V),Charles Barkley ,F
1986-87,2nd,(V),Dominique Wilkins ,F
1986-87,2nd,(V),Fat Lever ,G
1986-87,2nd,(V),Isiah Thomas ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1985-86,1st,(V),Kareem Abdul-Jabbar ,C
1985-86,1st,(V),Larry Bird ,F
1985-86,1st,(V),Dominique Wilkins ,F
1985-86,1st,(V),Magic Johnson ,G
1985-86,1st,(V),Isiah Thomas ,G
1985-86,2nd,(V),Hakeem Olajuwon ,C
1985-86,2nd,(V),Charles Barkley ,F
1985-86,2nd,(V),Alex English ,F
1985-86,2nd,(V),Sidney Moncrief ,G
1985-86,2nd,(V),Alvin Robertson ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1984-85,1st,(V),Moses Malone ,C
1984-85,1st,(V),Larry Bird ,F
1984-85,1st,(V),Bernard King ,F
1984-85,1st,(V),Magic Johnson ,G
1984-85,1st,(V),Isiah Thomas ,G
1984-85,2nd,(V),Kareem Abdul-Jabbar ,C
1984-85,2nd,(V),Terry Cummings ,F
1984-85,2nd,(V),Ralph Sampson ,F
1984-85,2nd,(V),Michael Jordan ,G
1984-85,2nd,(V),Sidney Moncrief ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1983-84,1st,(V),Kareem Abdul-Jabbar ,C
1983-84,1st,(V),Larry Bird ,F
1983-84,1st,(V),Bernard King ,F
1983-84,1st,(V),Magic Johnson ,G
1983-84,1st,(V),Isiah Thomas ,G
1983-84,2nd,(V),Moses Malone ,C
1983-84,2nd,(V),Adrian Dantley ,F
1983-84,2nd,(V),Julius Erving ,F
1983-84,2nd,(V),Sidney Moncrief ,G
1983-84,2nd,(V),Jim Paxson ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1982-83,1st,(V),Moses Malone ,C
1982-83,1st,(V),Larry Bird ,F
1982-83,1st,(V),Julius Erving ,F
1982-83,1st,(V),Magic Johnson ,G
1982-83,1st,(V),Sidney Moncrief ,G
1982-83,2nd,(V),Kareem Abdul-Jabbar ,C
1982-83,2nd,(V),Alex English ,F
1982-83,2nd,(V),Buck Williams ,F
1982-83,2nd,(V),George Gervin ,G
1982-83,2nd,(V),Isiah Thomas ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1981-82,1st,(V),Moses Malone ,C
1981-82,1st,(V),Larry Bird ,F
1981-82,1st,(V),Julius Erving ,F
1981-82,1st,(V),George Gervin ,G
1981-82,1st,(V),Gus Williams ,G
1981-82,2nd,(V),Robert Parish ,C
1981-82,2nd,(V),Alex English ,F
1981-82,2nd,(V),Bernard King ,F
1981-82,2nd,(V),Magic Johnson ,G
1981-82,2nd,(V),Sidney Moncrief ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1980-81,1st,(V),Kareem Abdul-Jabbar ,C
1980-81,1st,(V),Larry Bird ,F
1980-81,1st,(V),Julius Erving ,F
1980-81,1st,(V),George Gervin ,G
1980-81,1st,(V),Dennis Johnson ,G
1980-81,2nd,(V),Moses Malone ,C
1980-81,2nd,(V),Adrian Dantley ,F
1980-81,2nd,(V),Marques Johnson ,F
1980-81,2nd,(V),Tiny Archibald ,G
1980-81,2nd,(V),Otis Birdsong ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1979-80,1st,(V),Kareem Abdul-Jabbar ,C
1979-80,1st,(V),Larry Bird ,F
1979-80,1st,(V),Julius Erving ,F
1979-80,1st,(V),George Gervin ,G
1979-80,1st,(V),Paul Westphal ,G
1979-80,2nd,(V),Moses Malone ,C
1979-80,2nd,(V),Marques Johnson ,F
1979-80,2nd,(V),Dan Roundfield ,F
1979-80,2nd,(V),Dennis Johnson ,G
1979-80,2nd,(V),Gus Williams ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1978-79,1st,(V),Moses Malone ,C
1978-79,1st,(V),Elvin Hayes ,F
1978-79,1st,(V),Marques Johnson ,F
1978-79,1st,(V),George Gervin ,G
1978-79,1st,(V),Paul Westphal ,G
1978-79,2nd,(V),Kareem Abdul-Jabbar ,C
1978-79,2nd,(V),Bob Dandridge ,F
1978-79,2nd,(V),Walter Davis ,F
1978-79,2nd,(V),Phil Ford ,G
1978-79,2nd,(V),World B. Free ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1977-78,1st,(V),Bill Walton ,C
1977-78,1st,(V),Julius Erving ,F
1977-78,1st,(V),Truck Robinson ,F
1977-78,1st,(V),George Gervin ,G
1977-78,1st,(V),David Thompson ,G
1977-78,2nd,(V),Kareem Abdul-Jabbar ,C
1977-78,2nd,(V),Walter Davis ,F
1977-78,2nd,(V),Maurice Lucas ,F
1977-78,2nd,(V),Pete Maravich ,G
1977-78,2nd,(V),Paul Westphal ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1976-77,1st,(V),Kareem Abdul-Jabbar ,C
1976-77,1st,(V),Elvin Hayes ,F
1976-77,1st,(V),David Thompson ,F
1976-77,1st,(V),Pete Maravich ,G
1976-77,1st,(V),Paul Westphal ,G
1976-77,2nd,(V),Bill Walton ,C
1976-77,2nd,(V),Julius Erving ,F
1976-77,2nd,(V),George McGinnis ,F
1976-77,2nd,(V),George Gervin ,G
1976-77,2nd,(V),Jo Jo White ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1975-76,1st,(V),Kareem Abdul-Jabbar ,C
1975-76,1st,(V),Rick Barry ,F
1975-76,1st,(V),George McGinnis ,F
1975-76,1st,(V),Tiny Archibald ,G
1975-76,1st,(V),Pete Maravich ,G
1975-76,2nd,(V),Dave Cowens ,C
1975-76,2nd,(V),John Havlicek ,F
1975-76,2nd,(V),Elvin Hayes ,F
1975-76,2nd,(V),Phil Smith ,G
1975-76,2nd,(V),Randy Smith ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1975-76,1st,,Artis Gilmore ,C
1975-76,1st,,Julius Erving ,F
1975-76,1st,,Billy Knight ,F
1975-76,1st,,James Silas ,G
1975-76,1st,,Ralph Simpson ,G
1975-76,2nd,,Dan Issel ,C
1975-76,2nd,,Bobby Jones ,F
1975-76,2nd,,David Thompson ,F
1975-76,2nd,,Don Buse ,G
1975-76,2nd,,George Gervin ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1974-75,1st,(V),Bob McAdoo ,C
1974-75,1st,(V),Rick Barry ,F
1974-75,1st,(V),Elvin Hayes ,F
1974-75,1st,(V),Tiny Archibald ,G
1974-75,1st,(V),Walt Frazier ,G
1974-75,2nd,(V),Dave Cowens ,C
1974-75,2nd,(V),John Havlicek ,F
1974-75,2nd,(V),Spencer Haywood ,F
1974-75,2nd,(V),Phil Chenier ,G
1974-75,2nd,(V),Jo Jo White ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1974-75,1st,,Artis Gilmore ,C
1974-75,1st,,Julius Erving ,F
1974-75,1st,,George McGinnis ,F
1974-75,1st,,Ron Boone ,G
1974-75,1st,,Mack Calvin ,G
1974-75,2nd,,Swen Nater ,C
1974-75,2nd,,Marvin Barnes ,F
1974-75,2nd,,George Gervin ,F
1974-75,2nd,,James Silas ,G
1974-75,2nd,,Brian Taylor ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1973-74,1st,(V),Kareem Abdul-Jabbar ,C
1973-74,1st,(V),Rick Barry ,F
1973-74,1st,(V),John Havlicek ,F
1973-74,1st,(V),Walt Frazier ,G
1973-74,1st,(V),Gail Goodrich ,G
1973-74,2nd,(V),Bob McAdoo ,C
1973-74,2nd,(V),Elvin Hayes ,F
1973-74,2nd,(V),Spencer Haywood ,F
1973-74,2nd,(V),Dave Bing ,G
1973-74,2nd,(V),Norm Van Lier ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1973-74,1st,,Artis Gilmore ,C
1973-74,1st,,Julius Erving ,F
1973-74,1st,,George McGinnis ,F
1973-74,1st,,Mack Calvin ,G
1973-74,1st,,Jimmy Jones ,G
1973-74,2nd,,Swen Nater ,C
1973-74,2nd,,Dan Issel ,F
1973-74,2nd,,Willie Wise ,F
1973-74,2nd,,Ron Boone ,G
1973-74,2nd,,Louie Dampier ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1972-73,1st,(V),Kareem Abdul-Jabbar ,C
1972-73,1st,(V),John Havlicek ,F
1972-73,1st,(V),Spencer Haywood ,F
1972-73,1st,(V),Tiny Archibald ,G
1972-73,1st,(V),Jerry West ,G
1972-73,2nd,(V),Dave Cowens ,C
1972-73,2nd,(V),Rick Barry ,F
1972-73,2nd,(V),Elvin Hayes ,F
1972-73,2nd,(V),Walt Frazier ,G
1972-73,2nd,(V),Pete Maravich ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1972-73,1st,,Artis Gilmore ,C
1972-73,1st,,Billy Cunningham ,F
1972-73,1st,,Julius Erving ,F
1972-73,1st,,Warren Jabali ,G
1972-73,1st,,Jimmy Jones ,G
1972-73,2nd,,Mel Daniels ,C
1972-73,2nd,,Dan Issel ,F
1972-73,2nd,,George McGinnis ,F
1972-73,2nd,,Mack Calvin ,G
1972-73,2nd,,Ralph Simpson ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1971-72,1st,(V),Kareem Abdul-Jabbar ,C
1971-72,1st,(V),John Havlicek ,F
1971-72,1st,(V),Spencer Haywood ,F
1971-72,1st,(V),Walt Frazier ,G
1971-72,1st,(V),Jerry West ,G
1971-72,2nd,(V),Wilt Chamberlain ,C
1971-72,2nd,(V),Billy Cunningham ,F
1971-72,2nd,(V),Bob Love ,F
1971-72,2nd,(V),Tiny Archibald ,G
1971-72,2nd,(V),Archie Clark ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1971-72,1st,,Artis Gilmore ,C
1971-72,1st,,Rick Barry ,F
1971-72,1st,,Dan Issel ,F
1971-72,1st,,Donnie Freeman ,G
1971-72,1st,,Bill Melchionni ,G
1971-72,2nd,,Zelmo Beaty ,C
1971-72,2nd,,Julius Erving ,F
1971-72,2nd,,Willie Wise ,F
1971-72,2nd,,Charlie Scott ,G
1971-72,2nd,,Ralph Simpson ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1970-71,1st,(V),Kareem Abdul-Jabbar ,C
1970-71,1st,(V),Billy Cunningham ,F
1970-71,1st,(V),John Havlicek ,F
1970-71,1st,(V),Dave Bing ,G
1970-71,1st,(V),Jerry West ,G
1970-71,2nd,(V),Willis Reed ,C
1970-71,2nd,(V),Gus Johnson ,F
1970-71,2nd,(V),Bob Love ,F
1970-71,2nd,(V),Walt Frazier ,G
1970-71,2nd,(V),Oscar Robertson ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1970-71,1st,,Mel Daniels ,C
1970-71,1st,,Rick Barry ,F
1970-71,1st,,Roger Brown ,F
1970-71,1st,,Mack Calvin ,G
1970-71,1st,,Charlie Scott ,G
1970-71,2nd,,John Brisker ,F
1970-71,2nd,,Joe Caldwell ,F
1970-71,2nd,,Larry Cannon ,G
1970-71,2nd,,Donnie Freeman ,G
1970-71,2nd,,"Zelmo Beaty C, Dan Issel C (T",
,,,,
,,,,
,,,,
,,,,
,,,,
1969-70,1st,(V),Willis Reed ,C
1969-70,1st,(V),Billy Cunningham ,F
1969-70,1st,(V),Connie Hawkins ,F
1969-70,1st,(V),Walt Frazier ,G
1969-70,1st,(V),Jerry West ,G
1969-70,2nd,(V),Kareem Abdul-Jabbar ,C
1969-70,2nd,(V),John Havlicek ,F
1969-70,2nd,(V),Gus Johnson ,F
1969-70,2nd,(V),Lou Hudson ,G
1969-70,2nd,(V),Oscar Robertson ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1969-70,1st,,Mel Daniels ,C
1969-70,1st,,Rick Barry ,F
1969-70,1st,,Spencer Haywood ,F
1969-70,1st,,Larry Jones ,G
1969-70,1st,,Bob Verga ,G
1969-70,2nd,,Red Robbins ,C
1969-70,2nd,,Roger Brown ,F
1969-70,2nd,,Bob Netolicky ,F
1969-70,2nd,,Louie Dampier ,G
1969-70,2nd,,Donnie Freeman ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1968-69,1st,(V),Wes Unseld ,C
1968-69,1st,(V),Elgin Baylor ,F
1968-69,1st,(V),Billy Cunningham ,F
1968-69,1st,(V),Earl Monroe ,G
1968-69,1st,(V),Oscar Robertson ,G
1968-69,2nd,(V),Willis Reed ,C
1968-69,2nd,(V),Dave DeBusschere ,F
1968-69,2nd,(V),John Havlicek ,F
1968-69,2nd,(V),Hal Greer ,G
1968-69,2nd,(V),Jerry West ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1968-69,1st,,Mel Daniels ,C
1968-69,1st,,Rick Barry ,F
1968-69,1st,,Connie Hawkins ,F
1968-69,1st,,Jimmy Jones ,G
1968-69,1st,,Larry Jones ,G
1968-69,2nd,,Red Robbins ,C
1968-69,2nd,,John Beasley ,F
1968-69,2nd,,Doug Moe ,F
1968-69,2nd,,Louie Dampier ,G
1968-69,2nd,,Donnie Freeman ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1967-68,1st,(V),Wilt Chamberlain ,C
1967-68,1st,(V),Elgin Baylor ,F
1967-68,1st,(V),Jerry Lucas ,F
1967-68,1st,(V),Dave Bing ,G
1967-68,1st,(V),Oscar Robertson ,G
1967-68,2nd,(V),Bill Russell ,C
1967-68,2nd,(V),John Havlicek ,F
1967-68,2nd,(V),Willis Reed ,F
1967-68,2nd,(V),Hal Greer ,G
1967-68,2nd,(V),Jerry West ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1967-68,1st,,Mel Daniels ,C
1967-68,1st,,Connie Hawkins ,F
1967-68,1st,,Doug Moe ,F
1967-68,1st,,Larry Jones ,G
1967-68,1st,,Charles Williams ,G
1967-68,2nd,,John Beasley ,C
1967-68,2nd,,Roger Brown ,F
1967-68,2nd,,Cincy Powell ,F
1967-68,2nd,,Larry Brown ,G
1967-68,2nd,,Louie Dampier ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1966-67,1st,(V),Wilt Chamberlain ,C
1966-67,1st,(V),Rick Barry ,F
1966-67,1st,(V),Elgin Baylor ,F
1966-67,1st,(V),Oscar Robertson ,G
1966-67,1st,(V),Jerry West ,G
1966-67,2nd,(V),Bill Russell ,C
1966-67,2nd,(V),Jerry Lucas ,F
1966-67,2nd,(V),Willis Reed ,F
1966-67,2nd,(V),Hal Greer ,G
1966-67,2nd,(V),Sam Jones ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1965-66,1st,,Wilt Chamberlain ,C
1965-66,1st,,Rick Barry ,F
1965-66,1st,,Jerry Lucas ,F
1965-66,1st,,Oscar Robertson ,G
1965-66,1st,,Jerry West ,G
1965-66,2nd,,Bill Russell ,C
1965-66,2nd,,John Havlicek ,F
1965-66,2nd,,Gus Johnson ,F
1965-66,2nd,,Hal Greer ,G
1965-66,2nd,,Sam Jones ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1964-65,1st,,Bill Russell ,C
1964-65,1st,,Elgin Baylor ,F
1964-65,1st,,Jerry Lucas ,F
1964-65,1st,,Oscar Robertson ,G
1964-65,1st,,Jerry West ,G
1964-65,2nd,,Wilt Chamberlain ,C
1964-65,2nd,,Gus Johnson ,F
1964-65,2nd,,Bob Pettit ,F
1964-65,2nd,,Hal Greer ,G
1964-65,2nd,,Sam Jones ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1963-64,1st,,Wilt Chamberlain ,C
1963-64,1st,,Elgin Baylor ,F
1963-64,1st,,Bob Pettit ,F
1963-64,1st,,Oscar Robertson ,G
1963-64,1st,,Jerry West ,G
1963-64,2nd,,Bill Russell ,C
1963-64,2nd,,Tom Heinsohn ,F
1963-64,2nd,,Jerry Lucas ,F
1963-64,2nd,,Hal Greer ,G
1963-64,2nd,,John Havlicek ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1962-63,1st,,Bill Russell ,C
1962-63,1st,,Elgin Baylor ,F
1962-63,1st,,Bob Pettit ,F
1962-63,1st,,Oscar Robertson ,G
1962-63,1st,,Jerry West ,G
1962-63,2nd,,Wilt Chamberlain ,C
1962-63,2nd,,Tom Heinsohn ,F
1962-63,2nd,,Bailey Howell ,F
1962-63,2nd,,Bob Cousy ,G
1962-63,2nd,,Hal Greer ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1961-62,1st,,Wilt Chamberlain ,C
1961-62,1st,,Elgin Baylor ,F
1961-62,1st,,Bob Pettit ,F
1961-62,1st,,Oscar Robertson ,G
1961-62,1st,,Jerry West ,G
1961-62,2nd,,Bill Russell ,C
1961-62,2nd,,Tom Heinsohn ,F
1961-62,2nd,,Jack Twyman ,F
1961-62,2nd,,Bob Cousy ,G
1961-62,2nd,,Richie Guerin ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1960-61,1st,,Wilt Chamberlain ,C
1960-61,1st,,Elgin Baylor ,F
1960-61,1st,,Bob Pettit ,F
1960-61,1st,,Bob Cousy ,G
1960-61,1st,,Oscar Robertson ,G
1960-61,2nd,,Bill Russell ,C
1960-61,2nd,,Tom Heinsohn ,F
1960-61,2nd,,Dolph Schayes ,F
1960-61,2nd,,Larry Costello ,G
1960-61,2nd,,Gene Shue ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1959-60,1st,,Wilt Chamberlain ,C
1959-60,1st,,Elgin Baylor ,F
1959-60,1st,,Bob Pettit ,F
1959-60,1st,,Bob Cousy ,G
1959-60,1st,,Gene Shue ,G
1959-60,2nd,,Bill Russell ,C
1959-60,2nd,,Dolph Schayes ,F
1959-60,2nd,,Jack Twyman ,F
1959-60,2nd,,Richie Guerin ,G
1959-60,2nd,,Bill Sharman ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1958-59,1st,,Bill Russell ,C
1958-59,1st,,Elgin Baylor ,F
1958-59,1st,,Bob Pettit ,F
1958-59,1st,,Bob Cousy ,G
1958-59,1st,,Bill Sharman ,G
1958-59,2nd,,Dolph Schayes ,C
1958-59,2nd,,Paul Arizin ,F
1958-59,2nd,,Cliff Hagan ,F
1958-59,2nd,,Richie Guerin ,G
1958-59,2nd,,Slater Martin ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1957-58,1st,,Bob Pettit ,C
1957-58,1st,,Dolph Schayes ,F
1957-58,1st,,George Yardley ,F
1957-58,1st,,Bob Cousy ,G
1957-58,1st,,Bill Sharman ,G
1957-58,2nd,,Bill Russell ,C
1957-58,2nd,,Cliff Hagan ,F
1957-58,2nd,,Maurice Stokes ,F
1957-58,2nd,,Tom Gola ,G
1957-58,2nd,,Slater Martin ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1956-57,1st,,Bob Pettit ,C
1956-57,1st,,Paul Arizin ,F
1956-57,1st,,Dolph Schayes ,F
1956-57,1st,,Bob Cousy ,G
1956-57,1st,,Bill Sharman ,G
1956-57,2nd,,Neil Johnston ,C
1956-57,2nd,,Maurice Stokes ,F
1956-57,2nd,,George Yardley ,F
1956-57,2nd,,Dick Garmaker ,G
1956-57,2nd,,Slater Martin ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1955-56,1st,,Neil Johnston ,C
1955-56,1st,,Paul Arizin ,F
1955-56,1st,,Bob Pettit ,F
1955-56,1st,,Bob Cousy ,G
1955-56,1st,,Bill Sharman ,G
1955-56,2nd,,Clyde Lovellette ,C
1955-56,2nd,,Dolph Schayes ,F
1955-56,2nd,,Maurice Stokes ,F
1955-56,2nd,,Jack George ,G
1955-56,2nd,,Slater Martin ,G
,,,,
,,,,
,,,,
,,,,
,,,,
1954-55,1st,,Bob Cous,
1954-55,1st,,Larry Fous,
1954-55,1st,,Neil Johnsto,
1954-55,1st,,Bob Petti,
1954-55,1st,,Dolph Schaye,
1954-55,2nd,,Harry Gallati,
1954-55,2nd,,Slater Marti,
1954-55,2nd,,Vern Mikkelse,
1954-55,2nd,,Paul Seymou,
1954-55,2nd,,Bill Sharma,
,,,,
,,,,
,,,,
,,,,
,,,,
1953-54,1st,,Bob Cous,
1953-54,1st,,Harry Gallati,
1953-54,1st,,Neil Johnsto,
1953-54,1st,,George Mika,
1953-54,1st,,Dolph Schaye,
1953-54,2nd,,Carl Brau,
1953-54,2nd,,Ed Macaule,
1953-54,2nd,,Jim Pollar,
1953-54,2nd,,Paul Seymou,
1953-54,2nd,,Bobby Wanze,
,,,,
,,,,
,,,,
,,,,
,,,,
1952-53,1st,,Bob Cous,
1952-53,1st,,Neil Johnsto,
1952-53,1st,,Ed Macaule,
1952-53,1st,,George Mika,
1952-53,1st,,Dolph Schaye,
1952-53,2nd,,Bob Davie,
1952-53,2nd,,Vern Mikkelse,
1952-53,2nd,,Andy Philli,
1952-53,2nd,,Bill Sharma,
1952-53,2nd,,Bobby Wanze,
,,,,
,,,,
,,,,
,,,,
,,,,
1951-52,1st,,Paul Arizi,
1951-52,1st,,Bob Cous,
1951-52,1st,,Ed Macaule,
1951-52,1st,,George Mika,
1951-52,1st,,"Bob Davies , Dolph Schayes (T",
1951-52,2nd,,Larry Fous,
1951-52,2nd,,Vern Mikkelse,
1951-52,2nd,,Andy Philli,
1951-52,2nd,,Jim Pollar,
1951-52,2nd,,Bobby Wanze,
,,,,
,,,,
,,,,
,,,,
,,,,
1950-51,1st,,Ralph Bear,
1950-51,1st,,Bob Davie,
1950-51,1st,,Alex Groz,
1950-51,1st,,Ed Macaule,
1950-51,1st,,George Mika,
1950-51,2nd,,Frankie Bria,
1950-51,2nd,,Joe Fulk,
1950-51,2nd,,Dick McGuir,
1950-51,2nd,,Vern Mikkelse,
1950-51,2nd,,Dolph Schaye,
,,,,
,,,,
,,,,
,,,,
,,,,
1949-50,1st,,Bob Davie,
1949-50,1st,,Alex Groz,
1949-50,1st,,George Mika,
1949-50,1st,,Jim Pollar,
1949-50,1st,,Max Zaslofsk,
1949-50,2nd,,Ralph Bear,
1949-50,2nd,,Frankie Bria,
1949-50,2nd,,Al Cerv,
1949-50,2nd,,Fred Schau,
1949-50,2nd,,Dolph Schaye,
,,,,
,,,,
,,,,
,,,,
,,,,
1948-49,1st,,Bob Davie,
1948-49,1st,,Joe Fulk,
1948-49,1st,,George Mika,
1948-49,1st,,Jim Pollar,
1948-49,1st,,Max Zaslofsk,
1948-49,2nd,,Bob Feeric,
1948-49,2nd,,John Loga,
1948-49,2nd,,Bones McKinne,
1948-49,2nd,,Arnie Rise,
1948-49,2nd,,Kenny Sailor,
,,,,
,,,,
,,,,
,,,,
,,,,
1947-48,1st,,Howie Dallma,
1947-48,1st,,Bob Feeric,
1947-48,1st,,Joe Fulk,
1947-48,1st,,Ed Sadowsk,
1947-48,1st,,Max Zaslofsk,
1947-48,2nd,,Carl Brau,
1947-48,2nd,,Buddy Jeannett,
1947-48,2nd,,John Loga,
1947-48,2nd,,Stan Miase,
1947-48,2nd,,Fred Scolar,
,,,,
,,,,
,,,,
,,,,
,,,,
1946-47,1st,,Bob Feeric,
1946-47,1st,,Joe Fulk,
1946-47,1st,,Bones McKinne,
1946-47,1st,,Stan Miase,
1946-47,1st,,Max Zaslofsk,
1946-47,2nd,,Frankie Baumholt,
1946-47,2nd,,Ernie Calverle,
1946-47,2nd,,Chick Halber,
1946-47,2nd,,John Loga,
1946-47,2nd,,Fred Scolar,
