Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,Rookie,ClassRookie
Tim Duncan,1997,0.192,22.6,21.1,11.9,2.7,0.7,2.5,1,1
Keith Van Horn,1997,0.098,15.7,19.7,6.6,1.7,1.0,0.4,1,1
Ron Mercer,1997,0.073,14.1,15.3,3.5,2.2,1.6,0.2,1,1
Derek Anderson,1997,0.139,15.3,11.7,2.8,3.4,1.3,0.2,1,2
Zydrunas Ilgauskas,1997,0.189,19.7,13.9,8.8,0.9,0.6,1.6,1,1
Cedric Henderson,1997,0.072,10.7,10.1,4.0,2.0,1.2,0.5,1,2
Brevin Knight,1997,0.163,17.1,9.0,3.2,8.2,2.5,0.2,1,1
Maurice Taylor,1997,0.057,16.1,11.5,4.2,0.7,0.5,0.6,1,2
Bobby Jackson,1997,-0.014,13.6,11.6,4.4,4.7,1.5,0.2,1,2
Tim Thomas,1997,0.091,14.8,11.0,3.7,1.2,0.7,0.2,1,2
Chauncey Billups,1997,0.065,13.6,11.2,2.4,3.9,1.3,0.1,1,0
Danny Fortson,1997,0.051,14.3,10.2,5.6,1.0,0.6,0.4,1,0
Lawrence Funderburke,1997,0.092,16.2,9.5,4.5,1.2,0.4,0.3,1,0
Ed Gray,1997,0.083,13.0,7.6,1.5,1.1,0.5,0.4,1,0
Tracy McGrady,1997,0.081,17.4,7.0,4.2,1.5,0.8,1.0,1,0
Tony Battie,1997,0.015,13.3,8.4,5.4,0.9,0.8,1.1,1,0
Chris Anstey,1997,0.044,13.2,5.9,3.8,0.9,0.8,0.7,1,0
Michael Stewart,1997,0.081,12.9,4.6,6.6,0.8,0.4,2.4,1,0
Kelvin Cato,1997,0.129,13.3,3.8,3.4,0.3,0.4,1.3,1,0
Calbert Cheaney,1997,0.069,11.7,12.8,4.0,2.1,1.2,0.4,0,0
Anthony Johnson,1997,0.008,8.6,7.5,2.2,4.3,0.8,0.1,1,0
Antonio Daniels,1997,-0.032,9.9,7.8,1.9,4.5,0.7,0.1,1,0
Shawn Bradley,1997,0.077,17.7,11.4,8.1,0.9,0.8,3.3,0,0
Charles Oakley,1997,0.122,13.1,9.0,9.2,2.5,1.6,0.3,0,0
Bo Outlaw,1997,0.124,15.5,9.5,7.8,2.6,1.3,2.2,0,0
Jerry Stackhouse,1997,0.089,16.2,15.8,3.4,3.1,1.1,0.7,0,0
Brent Barry,1997,0.08,14.3,10.9,2.9,2.6,1.1,0.5,0,0
Isaac Austin,1997,0.077,16.3,13.5,7.1,2.2,0.8,0.7,0,0
Antoine Walker,1997,0.07,17.8,22.4,10.2,3.3,1.7,0.7,0,0
Theo Ratliff,1997,0.132,16.2,9.9,6.7,0.7,0.6,3.1,0,0
Mike Bibby,1998,0.035,14.8,13.2,2.7,6.5,1.6,0.1,1,1
Cuttino Mobley,1998,0.077,12.2,9.9,2.3,2.5,0.9,0.5,1,2
Jason Williams,1998,0.055,12.8,12.8,3.1,6.0,1.9,0.0,1,1
Vince Carter,1998,0.136,19.6,18.3,5.7,3.0,1.1,1.5,1,1
Michael Dickerson,1998,0.069,11.5,10.9,1.7,1.9,0.5,0.2,1,2
Paul Pierce,1998,0.144,19.2,16.5,6.4,2.4,1.7,1.0,1,1
Matt Harpring,1998,0.113,13.0,8.2,4.3,0.9,0.6,0.1,1,1
Antawn Jamison,1998,0.105,16.6,9.6,6.4,0.7,0.8,0.3,1,2
Michael Olowokandi,1998,-0.01,11.8,8.9,7.9,0.6,0.6,1.2,1,2
Michael Doleac,1998,0.138,13.7,6.2,3.0,0.4,0.4,0.3,1,2
Raef LaFrentz,1998,0.144,18.9,13.8,7.6,0.7,0.8,1.4,1,0
Felipe López,1998,0.021,11.8,9.3,3.5,1.3,1.0,0.3,1,0
Larry Hughes,1998,0.117,16.7,9.1,3.8,1.5,0.9,0.3,1,0
Robert Traylor,1998,0.152,17.0,5.3,3.7,0.8,0.9,0.9,1,0
Peja Stojaković,1998,0.081,13.5,8.4,3.0,1.5,0.9,0.1,1,0
Tyrone Nesby,1998,0.117,17.0,10.1,3.5,1.6,1.5,0.4,1,0
Kornél Dávid,1998,0.09,13.6,6.2,3.5,0.8,0.5,0.3,1,0
Jelani McCoy,1998,0.201,21.1,5.1,3.0,0.2,0.4,0.8,1,0
Dirk Nowitzki,1998,0.04,12.8,8.2,3.4,1.0,0.6,0.6,1,0
Andrae Patterson,1998,0.114,14.5,3.3,1.9,0.4,0.5,0.2,1,0
Vladimir Stepania,1998,-0.022,11.3,5.5,3.3,0.5,0.4,1.0,1,0
Jerry Stackhouse,1998,0.076,15.2,14.5,2.5,2.8,0.8,0.5,0,0
Jayson Williams,1998,0.102,14.5,8.1,12.0,1.1,0.8,2.0,0,0
Toni Kukoč,1998,0.082,18.6,18.8,7.0,5.3,1.1,0.3,0,0
Damon Jones,1998,0.095,13.7,5.2,1.8,1.8,0.5,0.0,1,0
Gary Trent,1998,0.14,20.8,16.0,7.8,1.7,0.6,0.5,0,0
Avery Johnson,1998,0.111,14.0,9.7,2.4,7.4,1.0,0.2,0,0
Charlie Ward,1998,0.094,13.2,7.6,3.4,5.4,2.1,0.2,0,0
Kerry Kittles,1998,0.054,13.5,12.9,4.2,2.5,1.7,0.6,0,0
Patrick Ewing,1998,0.123,19.4,17.3,9.9,1.1,0.8,2.6,0,0
Elton Brand,1999,0.121,20.6,20.1,10.0,1.9,0.8,1.6,1,1
Metta World Peace,1999,0.05,13.4,12.0,4.3,2.8,1.7,0.5,1,2
Andre Miller,1999,0.122,17.9,11.1,3.4,5.8,1.0,0.2,1,1
Wally Szczerbiak,1999,0.137,15.4,11.6,3.7,2.8,0.8,0.3,1,1
Steve Francis,1999,0.111,18.4,18.0,5.3,6.6,1.5,0.4,1,1
Lamar Odom,1999,0.055,16.8,16.6,7.8,4.2,1.2,1.3,1,1
Shawn Marion,1999,0.158,17.1,10.2,6.5,1.4,0.7,1.0,1,2
Jason Terry,1999,0.047,13.9,8.1,2.0,4.3,1.1,0.1,1,2
James Posey,1999,0.101,13.0,8.2,3.9,1.8,1.2,0.4,1,2
Chucky Atkins,1999,0.072,14.4,9.5,1.5,3.7,0.6,0.0,1,2
Eddie Robinson,1999,0.13,16.4,7.0,2.7,0.5,0.7,0.4,1,0
Richard Hamilton,1999,0.024,11.6,9.0,1.8,1.5,0.4,0.1,1,0
Vonteego Cummings,1999,0.036,12.9,9.4,2.5,3.3,1.2,0.2,1,0
Kenny Thomas,1999,0.058,12.0,8.3,6.1,1.6,0.8,0.3,1,0
Corey Maggette,1999,0.091,14.1,8.4,3.9,0.8,0.3,0.3,1,0
Anthony Carter,1999,0.036,11.0,6.3,2.5,4.8,1.2,0.1,1,0
Baron Davis,1999,0.065,12.9,5.9,2.0,3.8,1.2,0.2,1,0
Adrian Griffin,1999,0.098,12.6,6.7,5.2,2.5,1.6,0.2,1,0
Ryan Bowen,1999,0.111,11.8,2.5,2.2,0.4,0.8,0.3,1,0
Glenn Robinson,1999,0.08,17.8,20.9,6.0,2.4,1.0,0.5,0,0
Kendall Gill,1999,0.076,15.2,13.1,3.7,2.8,1.8,0.5,0,0
Antawn Jamison,1999,0.043,16.7,19.6,8.3,2.1,0.7,0.3,0,0
Dedric Willoughby,1999,0.04,12.2,7.6,2.0,2.6,0.9,0.1,1,0
Hakeem Olajuwon,1999,0.072,16.7,10.3,6.2,1.4,0.9,1.6,0,0
Michael Dickerson,1999,0.085,15.6,18.2,3.4,2.5,1.4,0.5,0,0
George Lynch,1999,0.116,13.7,9.6,7.8,1.8,1.6,0.5,0,0
Derek Anderson,1999,0.073,16.9,16.9,4.0,3.4,1.4,0.2,0,0
Dirk Nowitzki,1999,0.132,17.5,17.5,6.5,2.5,0.8,0.8,0,0
P.J. Brown,1999,0.143,15.3,9.6,7.5,1.8,0.8,0.8,0,0
Mike Bibby,1999,0.086,16.7,14.5,3.7,8.1,1.6,0.2,0,0
Marc Jackson,2000,0.089,16.1,13.2,7.5,1.2,0.7,0.6,1,1
Darius Miles,2000,0.068,14.7,9.4,5.9,1.2,0.6,1.5,1,1
Kenyon Martin,2000,0.044,13.4,12.0,7.4,1.9,1.1,1.7,1,1
Marcus Fizer,2000,-0.022,11.0,9.5,4.3,1.1,0.4,0.3,1,2
Mike Miller,2000,0.106,13.2,11.9,4.0,1.7,0.6,0.2,1,1
Chris Mihm,2000,0.053,12.6,7.6,4.7,0.3,0.3,0.9,1,2
Morris Peterson,2000,0.096,14.1,9.3,3.2,1.3,0.8,0.3,1,1
Desmond Mason,2000,0.055,10.5,5.9,3.2,0.8,0.5,0.3,1,2
Courtney Alexander,2000,0.027,11.6,9.5,2.2,1.0,0.7,0.1,1,2
Hedo Türkoğlu,2000,0.106,11.7,5.3,2.8,0.9,0.7,0.3,1,2
Stephen Jackson,2000,0.026,12.1,8.2,2.7,1.8,1.1,0.2,1,0
Quentin Richardson,2000,0.106,16.5,8.1,3.4,0.8,0.6,0.1,1,0
Jamaal Magloire,2000,0.114,13.4,4.6,4.0,0.4,0.2,1.1,1,0
Chris Porter,2000,0.008,11.1,8.6,3.7,1.2,0.9,0.1,1,0
Stromile Swift,2000,0.069,13.1,4.9,3.6,0.4,0.8,1.0,1,0
Juwan Howard,2000,0.071,16.0,18.0,7.1,2.8,0.9,0.5,0,0
Charles Oakley,2000,0.065,11.6,9.6,9.5,3.4,1.0,0.6,0,0
Khalid El-Amin,2000,0.03,12.2,6.3,1.6,2.9,1.0,0.0,1,0
Jahidi White,2000,0.061,14.7,8.6,7.7,0.3,0.5,1.6,0,0
Horace Grant,2000,0.13,14.3,8.5,7.1,1.6,0.7,0.8,0,0
Calvin Booth,2000,0.106,16.1,5.3,4.5,0.8,0.5,2.0,0,0
Toni Kukoč,2000,0.14,17.8,11.1,4.0,3.1,0.7,0.2,0,0
Elden Campbell,2000,0.131,16.4,13.1,7.8,1.3,0.8,1.8,0,0
Jermaine O'Neal,2000,0.116,17.5,12.9,9.8,1.2,0.6,2.8,0,0
Jerry Stackhouse,2000,0.137,21.8,29.8,3.9,5.1,1.2,0.7,0,0
Othella Harrington,2000,0.067,12.0,9.0,5.2,0.8,0.5,0.6,0,0
Mark Blount,2000,0.084,11.1,3.9,3.6,0.5,0.6,1.2,1,0
P.J. Brown,2000,0.137,13.3,8.5,9.3,1.6,1.0,1.2,0,0
Eric Snow,2000,0.105,13.9,9.8,3.3,7.4,1.5,0.1,0,0
Metta World Peace,2000,0.039,13.6,11.9,3.9,3.0,2.0,0.6,0,0
Pau Gasol,2001,0.121,19.5,17.6,8.9,2.7,0.5,2.1,1,1
Jamaal Tinsley,2001,0.033,13.4,9.4,3.7,8.1,1.7,0.5,1,2
Jason Richardson,2001,0.052,13.8,14.4,4.3,3.0,1.3,0.4,1,1
Richard Jefferson,2001,0.117,13.4,9.4,3.7,1.8,0.8,0.6,1,2
Tony Parker,2001,0.08,11.7,9.2,2.6,4.3,1.2,0.1,1,1
Eddie Griffin,2001,0.061,13.8,8.8,5.7,0.7,0.2,1.8,1,2
Andrei Kirilenko,2001,0.164,18.8,10.7,4.9,1.1,1.4,1.9,1,1
Shane Battier,2001,0.074,13.9,14.4,5.4,2.8,1.6,1.0,1,1
Željko Rebrača,2001,0.134,16.2,6.9,3.9,0.5,0.4,1.0,1,2
Gilbert Arenas,2001,0.114,17.0,10.9,2.8,3.7,1.5,0.2,1,0
Joe Johnson,2001,0.075,11.8,7.5,3.3,2.3,0.8,0.3,1,0
Jason Collins,2001,0.104,10.7,4.5,3.9,1.1,0.4,0.6,1,0
Trenton Hassell,2001,0.033,10.4,8.7,3.3,2.2,0.7,0.6,1,0
Brendan Haywood,2001,0.116,13.7,5.1,5.2,0.5,0.3,1.5,1,0
Speedy Claxton,2001,0.087,12.6,7.2,2.4,3.0,1.4,0.1,1,0
Tyson Chandler,2001,0.062,13.0,6.1,4.8,0.8,0.4,1.3,1,0
Etan Thomas,2001,0.127,15.7,4.3,3.9,0.1,0.4,0.7,1,0
Jarron Collins,2001,0.111,11.5,6.4,4.2,0.8,0.4,0.3,1,0
Troy Murphy,2001,0.046,10.3,5.9,3.9,0.9,0.4,0.3,1,0
Eddy Curry,2001,0.075,14.4,6.7,3.8,0.3,0.2,0.7,1,0
Vladimir Radmanović,2001,0.084,12.7,6.7,3.8,1.3,0.9,0.4,1,0
Tremaine Fowlkes,2001,0.071,9.5,3.4,2.9,0.8,0.5,0.0,1,0
Leon Smith,2001,0.109,14.0,2.2,2.2,0.2,0.4,0.1,1,0
Lamond Murray,2001,0.086,16.7,16.6,5.2,2.2,1.0,0.6,0,0
Tang Hamilton,2001,0.12,10.9,2.2,2.0,0.6,0.4,0.0,1,0
Horace Grant,2001,0.122,13.9,8.0,6.3,1.4,0.8,0.6,0,0
Keith Van Horn,2001,0.123,16.0,14.8,7.5,2.0,0.8,0.5,0,0
Jim Jackson,2001,0.073,11.3,10.7,5.3,2.5,0.8,0.3,0,0
Metta World Peace,2001,0.079,15.8,13.2,4.9,2.3,2.6,0.7,0,0
Cuttino Mobley,2001,0.087,16.7,21.7,4.1,2.5,1.5,0.5,0,0
Carlos Boozer,2002,0.139,17.9,10.0,7.5,1.3,0.7,0.6,1,2
Drew Gooden,2002,0.043,15.0,12.5,6.5,1.2,0.8,0.5,1,1
Caron Butler,2002,0.086,15.1,15.4,5.1,2.7,1.8,0.4,1,1
Yao Ming,2002,0.176,20.6,13.5,8.2,1.7,0.4,1.8,1,1
Gordan Giriček,2002,0.036,12.1,12.3,3.1,1.8,0.7,0.1,1,2
Jay Williams,2002,0.02,12.2,9.5,2.6,4.7,1.1,0.2,1,2
Amar'e Stoudemire,2002,0.116,16.2,13.5,8.8,1.0,0.8,1.1,1,1
Manu Ginóbili,2002,0.141,14.7,7.6,2.3,2.0,1.4,0.2,1,2
J.R. Bremer,2002,0.096,12.7,8.3,2.3,2.6,0.6,0.0,1,2
Nenê,2002,0.107,15.4,10.5,6.1,1.9,1.6,0.8,1,0
Dajuan Wagner,2002,0.011,10.9,13.4,1.7,2.8,0.8,0.1,1,0
Mehmet Okur,2002,0.134,14.8,6.9,4.7,1.0,0.3,0.5,1,0
Marko Jarić,2002,0.067,14.4,7.4,2.4,2.9,1.5,0.2,1,0
Reggie Evans,2002,0.105,10.4,3.2,6.6,0.5,0.6,0.2,1,0
Vincent Yarbrough,2002,0.035,9.5,6.9,2.7,2.2,1.0,0.6,1,0
Dan Gadzuric,2002,0.075,11.2,3.4,4.0,0.2,0.4,1.1,1,0
Troy Murphy,2002,0.122,15.9,11.7,10.2,1.3,0.8,0.4,0,0
Brian Grant,2002,0.139,15.6,10.3,10.2,1.3,0.8,0.6,0,0
Malik Rose,2002,0.13,16.1,10.4,6.4,1.6,0.7,0.5,0,0
Ricky Davis,2002,0.046,16.1,20.6,4.9,5.5,1.6,0.5,0,0
Jared Jeffries,2002,0.049,11.1,4.0,2.9,0.8,0.4,0.3,1,0
Rasual Butler,2002,0.002,9.5,7.5,2.6,1.3,0.3,0.6,1,0
Mike Batiste,2002,0.029,12.2,6.4,3.4,0.7,0.6,0.2,1,0
Derrick Coleman,2002,0.124,15.4,9.4,7.0,1.4,0.8,1.1,0,0
Adonal Foyle,2002,0.106,15.3,5.4,6.0,0.5,0.5,2.5,0,0
Kerry Kittles,2002,0.188,18.3,13.0,3.9,2.6,1.6,0.5,0,0
Keith Van Horn,2002,0.133,17.3,15.9,7.1,1.3,0.9,0.4,0,0
Jamaal Magloire,2002,0.133,15.4,10.3,8.8,1.1,0.6,1.4,0,0
Desmond Mason,2002,0.09,15.2,14.3,6.5,2.0,0.8,0.4,0,0
Smush Parker,2002,0.005,11.3,6.2,1.8,2.5,0.7,0.2,1,0
LeBron James,2003,0.078,18.3,20.9,5.5,5.9,1.6,0.7,1,1
Kirk Hinrich,2003,0.072,13.1,12.0,3.4,6.8,1.3,0.3,1,1
Dwyane Wade,2003,0.103,17.6,16.2,4.0,4.5,1.4,0.6,1,1
Carmelo Anthony,2003,0.098,17.6,21.0,6.1,2.8,1.2,0.5,1,1
Josh Howard,2003,0.104,15.7,8.6,5.5,1.4,1.0,0.8,1,2
Udonis Haslem,2003,0.128,13.7,7.3,6.3,0.7,0.4,0.3,1,2
Chris Bosh,2003,0.119,15.1,11.5,7.4,1.0,0.8,1.4,1,1
Marquis Daniels,2003,0.146,20.1,8.5,2.6,2.1,0.9,0.2,1,2
T.J. Ford,2003,0.022,12.1,7.1,3.2,6.5,1.1,0.1,1,2
Jarvis Hayes,2003,0.012,9.4,9.6,3.8,1.5,1.0,0.2,1,2
Keith Bogans,2003,0.034,11.0,6.8,4.3,1.3,0.6,0.1,1,0
Brian Cook,2003,0.122,14.0,4.4,2.9,0.6,0.5,0.5,1,0
Mike Sweetney,2003,0.138,17.2,4.3,3.7,0.3,0.4,0.3,1,0
Chris Kaman,2003,0.001,9.6,6.1,5.6,1.0,0.3,0.9,1,0
Darius Songaila,2003,0.129,14.6,4.6,3.1,0.7,0.6,0.2,1,0
Antonio Davis,2003,0.071,11.8,8.9,8.4,1.7,0.5,0.8,0,0
Raül López,2003,0.041,12.0,7.0,1.9,3.7,0.8,0.0,1,0
Linton Johnson,2003,0.023,9.6,4.2,4.5,0.7,0.9,0.8,1,0
Doug Christie,2003,0.099,14.0,10.1,4.0,4.2,1.8,0.5,0,0
Francisco Elson,2003,0.097,11.2,3.5,3.3,0.5,0.6,0.6,1,0
David West,2003,0.143,15.9,3.8,4.2,0.8,0.4,0.4,1,0
Caron Butler,2003,0.05,10.7,9.2,4.8,1.9,1.1,0.2,0,0
Leandro Barbosa,2003,0.061,12.7,7.9,1.8,2.4,1.3,0.1,1,0
Jason Richardson,2003,0.085,16.8,18.7,6.7,2.9,1.1,0.5,0,0
Juwan Howard,2003,0.059,15.6,17.0,7.0,2.0,0.7,0.3,0,0
Willie Green,2003,-0.003,10.8,6.9,1.2,1.0,0.5,0.1,1,0
Marcus Banks,2003,0.026,11.0,5.9,1.6,2.2,1.1,0.2,1,0
Quentin Richardson,2003,0.05,15.1,17.2,6.4,2.1,1.0,0.3,0,0
Jamal Crawford,2003,0.069,15.9,17.3,3.5,5.1,1.4,0.4,0,0
Keith Van Horn,2003,0.129,17.8,16.1,7.0,1.7,0.9,0.5,0,0
Dwight Howard,2004,0.131,17.2,12.0,10.0,0.9,0.9,1.7,1,1
Emeka Okafor,2004,0.074,16.3,15.1,10.9,0.9,0.8,1.7,1,1
Josh Smith,2004,0.055,15.4,9.7,6.2,1.7,0.8,1.9,1,2
Josh Childress,2004,0.093,15.2,10.1,6.0,1.9,0.9,0.4,1,2
Ben Gordon,2004,0.084,14.9,15.1,2.6,2.0,0.6,0.1,1,1
Nenad Krstić,2004,0.108,13.4,10.0,5.3,1.0,0.4,0.8,1,2
Andre Iguodala,2004,0.118,13.5,9.0,5.7,3.0,1.7,0.6,1,1
Luol Deng,2004,0.086,14.2,11.7,5.3,2.2,0.8,0.4,1,1
Jameer Nelson,2004,0.074,14.5,8.7,2.4,3.0,1.0,0.0,1,2
Al Jefferson,2004,0.123,16.6,6.7,4.4,0.3,0.3,0.8,1,2
Andrés Nocioni,2004,0.062,10.1,8.4,4.8,1.5,0.5,0.4,1,0
Shaun Livingston,2004,0.008,10.4,7.4,3.0,5.0,1.1,0.4,1,0
Matt Bonner,2004,0.13,14.7,7.2,3.5,0.6,0.5,0.2,1,0
Tony Allen,2004,0.103,14.7,6.4,2.9,0.8,1.0,0.3,1,0
Nick Collison,2004,0.135,15.0,5.6,4.6,0.4,0.4,0.6,1,0
Anderson Varejão,2004,0.164,17.0,4.9,4.8,0.5,0.8,0.7,1,0
Chris Duhon,2004,0.09,9.8,5.9,2.6,4.9,1.0,0.0,1,0
Devin Harris,2004,0.111,14.7,5.7,1.3,2.2,1.0,0.3,1,0
Damien Wilkins,2004,0.092,13.4,6.3,2.3,0.9,0.8,0.3,1,0
Andris Biedriņš,2004,0.154,14.8,3.6,3.9,0.4,0.4,0.8,1,0
Quinton Ross,2004,0.05,8.9,5.1,2.7,1.4,0.7,0.3,1,0
Marko Jarić,2004,0.08,13.9,9.9,3.2,6.1,1.7,0.3,0,0
Marcus Camby,2004,0.138,18.0,10.3,10.0,2.3,0.9,3.0,0,0
Trevor Ariza,2004,0.073,13.3,5.9,3.0,1.1,0.9,0.2,1,0
David Harrison,2004,0.09,12.9,6.1,3.1,0.3,0.4,1.3,1,0
Shareef Abdur-Rahim,2004,0.139,18.7,16.8,7.3,2.1,0.9,0.5,0,0
Cuttino Mobley,2004,0.089,15.0,17.2,3.5,2.8,1.1,0.5,0,0
Jeff McInnis,2004,0.074,12.4,12.8,2.1,5.1,0.7,0.0,0,0
Ricky Davis,2004,0.074,15.0,16.0,3.0,3.0,1.1,0.3,0,0
Richard Jefferson,2004,0.086,16.6,22.2,7.3,4.0,1.0,0.5,0,0
Chris Paul,2005,0.178,22.1,16.1,5.1,7.8,2.2,0.1,1,1
Charlie Villanueva,2005,0.079,16.4,13.0,6.4,1.1,0.7,0.8,1,1
Luther Head,2005,0.072,11.2,8.8,3.3,2.7,1.1,0.1,1,2
Raymond Felton,2005,0.051,14.2,11.9,3.3,5.6,1.3,0.1,1,2
Deron Williams,2005,0.059,12.4,10.8,2.4,4.5,0.8,0.2,1,1
Danny Granger,2005,0.139,14.7,7.5,4.9,1.2,0.7,0.8,1,2
Channing Frye,2005,0.108,18.1,12.3,5.8,0.8,0.5,0.7,1,1
Andrew Bogut,2005,0.113,15.2,9.4,7.0,2.3,0.6,0.8,1,1
Ryan Gomes,2005,0.108,14.0,7.6,4.9,1.0,0.6,0.1,1,2
Marvin Williams,2005,0.069,12.2,8.5,4.8,0.8,0.6,0.3,1,2
Bracey Wright,2005,0.054,12.1,8.9,2.6,0.7,0.1,0.0,1,0
Šarūnas Jasikevičius,2005,0.103,12.9,7.3,2.0,3.0,0.5,0.1,1,0
Salim Stoudamire,2005,0.046,12.5,9.7,1.9,1.2,0.4,0.0,1,0
Sean May,2005,0.047,15.3,8.2,4.7,1.0,0.7,0.5,1,0
Johan Petro,2005,0.037,10.4,5.2,4.4,0.2,0.4,0.8,1,0
David Lee,2005,0.116,15.4,5.1,4.5,0.6,0.4,0.3,1,0
Nate Robinson,2005,0.046,12.6,9.3,2.3,2.0,0.8,0.0,1,0
Francisco García,2005,0.06,10.3,5.6,2.8,1.4,0.6,0.7,1,0
Ike Diogu,2005,0.123,15.8,7.0,3.3,0.4,0.2,0.4,1,0
Amir Johnson,2005,0.208,20.3,6.7,1.3,1.0,0.0,0.7,1,0
Chuck Hayes,2005,0.212,18.0,3.7,4.5,0.4,0.7,0.4,1,0
Joey Graham,2005,0.038,10.2,6.7,3.1,0.8,0.5,0.2,1,0
Stephen Jackson,2005,0.073,13.6,16.4,3.9,2.8,1.3,0.5,0,0
Monta Ellis,2005,0.028,11.1,6.8,2.1,1.6,0.7,0.2,1,0
José Calderón,2005,0.029,11.4,5.5,2.2,4.5,0.7,0.1,1,0
Rashad McCants,2005,0.058,12.6,7.9,1.8,0.8,0.6,0.3,1,0
David Wesley,2005,0.072,9.6,9.9,2.5,2.9,0.8,0.1,0,0
Cuttino Mobley,2005,0.086,13.1,14.8,4.3,3.0,1.2,0.5,0,0
Zach Randolph,2005,0.024,16.9,18.0,8.0,1.9,0.8,0.2,0,0
Fred Jones,2005,0.069,11.0,9.6,2.5,2.3,0.8,0.3,0,0
